run	http_reqs_rate	http_req_duration_avg	http_req_duration_p95	avg_cpu_pct	avg_mem_mib
1	810,0183276262421	221,05309676702356	730,5245499999999	477,6858	192,6601
2	848,8074418988035	165,03699653179072	415,5008499999998	496,918	213,9984
3	864,1247253810086	145,36974369938787	389,0241999999999	461,705	226,70050000000003
4	869,9612123557873	137,6975926663785	307,34169999999995	465,63949999999994	265,6645
5	873,5015541613582	133,51024679265058	319,812	483,781	277,291
6	869,3961102682923	137,84564930672983	306,4652499999999	452,93100000000004	310,2555
7	860,3790600275065	149,86893655916015	367,5000999999998	468,15650000000005	319,087
8	856,8742820981772	154,6705321700983	380,54734999999994	473,613	321,4715
9	863,1731290196997	144,75959290298354	314,57165	461,1405	318,01300000000003
10	871,1755224543697	136,2692369719831	324,76859999999994	468,22799999999995	323,572
